index,id,title,authors,venue,year,source,entity_id
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,0,1
1,44470,protocol : a technique for maintaining linear arithmetic constraints in distributed database systems,", h garcia-molina",,,1,1
3,17380,"the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0,1,1
3,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,0,2
5,37650,"revisiting commit processing performance in distributed database systems r gupta , j haritsa , k ramamritham",,"proc . acm sigmod int &#39; l conf . management of data ,",,1,2
29,842,temporal database system implementations m bіhlen sigmod record,,,1995.0,0,3
15,42920,"temporal database system implementations hb michael acm sigmod record ,",,,,1,3
16,29504,temporal database system implementations m bã ¶ hlen 1995.0,,"acm sigmod record ,",,1,3
1136,37892,"temporal database system implementations , 1995 mh boehlen department of mathematics and computer science , aalborg",,,,1,3
1305,44986,temporal database implementations mh boehlen,,"sigmod record ,",,1,3
26,120,"promises and realities of active database systems e simon , a dittrich vldb 1995",,,,0,4
18,45055,promises and realities of active database systems,"e simon , a kotz-dittrich","proceedings of the international conference on very large & hellip ; ,",1995.0,1,4
30,1404,temporal aggregation in active database rules sigmod conference 1997,"i motakis , c zaniolo",,,0,5
22,61633,"temporal aggregation in active databases int . conf . on the management of data ,","i motakis , c zaniolo",,,1,5
23,55371,temporal aggregation in active database rules,", c zaniolo",,,1,5
24,48623,temporal reasoning in active databases,i motakis,,1997.0,1,5
1783,62555,zaniolo . temporal aggregation in activedatabase rules,i motakis andc,acm intl. conference on management of data,,1,5
1,1610,temporal conditions and integrity constraints in active database systems sigmod conference,"a sistla , o wolfson",,1995.0,0,6
25,16511,"temporal conditions and integrity constraints in active database systems sigmod conference ,","ap sistla , o wolfson",,1995.0,1,6
29,58055,"temporal conditions and integrity constraint checking in active database systems p sistla , o wolfson proceedings of the acm sigmod international conference ,",,,,1,6
38,21763,temporal conditions and integrity constraints in active databases proc . of the 1995 sigmod international conference on the,"ap sistla , o wolfson",,,1,6
25,1407,"secure transaction processing in firm real-time database systems b george , j haritsa",,sigmod conference,1997.0,0,7
51,43981,secure processing in real-time database systems,"b george , j haritsa","proc . of acm sigmod conf ,",,1,7
5,2030,locating data sources in large distributed systems vldb,"l galanis , y wang , s jeffery , d dewitt",,2003.0,0,8
53,18418,"locating data sources in large distributed systems l galanis , y wang , sr jeffery , dj dewitt vldb ,",,,2003.0,1,8
10,1239,"smooth - a distributed multimedia database system h kosch , l bіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch vldb 2001",,,,0,9
