ltable_id,rtable_id,label,left_id,left_title,left_authors,left_venue,left_year,right_id,right_title,right_authors,right_venue,right_year,id
2563,6425,0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,6425,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,1
1610,6425,0,1610,temporal conditions and integrity constraints in active database systems sigmod conference,"a sistla , o wolfson",,1995.0,6425,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,2
1999,6425,0,1999,the role of integrity constraints in database interoperation 1996,"m vermeer , p apers",vldb,,6425,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,,3
2563,44470,1,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,44470,protocol : a technique for maintaining linear arithmetic constraints in distributed database systems,", h garcia-molina",,,4
2563,55077,0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,55077,"a locking protocol for resource coordination in distributed databases acm transactions on database systems ,","da menasce , gj popek , rr muntz",,1980.0,5
2563,17380,1,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,17380,"the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0,6
1401,17380,0,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,17380,"the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbarã ¡ - millã ¡ , h garcia-molina",,"the vldb journal the international journal on very large & hellip ; ,",1994.0,7
2563,51500,0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,51500,"query processing in sdd-1 : a system for distributed databases n goodman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",,8
1401,51500,0,1401,revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,51500,"query processing in sdd-1 : a system for distributed databases n goodman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",,9
2528,51500,0,2528,mariposa : a wide-area distributed database system 1996,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,,51500,"query processing in sdd-1 : a system for distributed databases n goodman , pa bernstein , e wong , cl reeve , jb",,"acm _ tods ,",,10
