index,id,title,manufacturer,price,source,entity_id
0,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,0,1
1,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95,1,1
17,490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,0,2
8,2803,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0,1,2
77,1199,dreamweaver cs3 9 mac ed 1u,adobe-education-box,199.0,0,3
29,580,adobe dreamweaver cs3 academic,adobe-education-box,195.99,1,3
75,1118,adobe creative suite cs3 master collection upsell,adobe,1999.0,0,4
39,950,adobe cs3 master collection upsell from cs1,,2054.99,1,4
87,88,total training for adobe creative suite 3 : design premium bundle,total training,299.99,0,5
42,1612,total training for adobe creative suite 3 design premium,,279.95,1,5
16,604,microsoft office small business 2007 full version,microsoft,449.95,0,6
49,1512,microsoft w87-02380 office sbe 2007 win32,,400.34,1,6
28,574,microsoft mappoint 2006 with gps,microsoft,349.0,0,7
50,3029,microsoft mappoint 2006 with gps locator ( pc ),,349.99,1,7
100,741,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,0,8
63,358,adobe illustrator cs3 for mac academic,adobe-education-box,199.99,1,8
62,662,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft,669.0,0,9
79,3117,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04,1,9
63,248,microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft software,,0,10
80,1633,windows sbs cal 2003 20-clt addpak device cal microsoft t74-00003,,1413.42,1,10
35,632,microsoft windows xp professional full version with sp2,microsoft,299.99,0,11
81,273,microsoft windows xp pro sp2 retail,,299.99,1,11
137,924,microsoft windows xp pro oem sp2 no open box returns,,149.99,1,11
15,93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,0,12
84,1652,microsoft 392-02322 ae frontpage 2003,,87.99,1,12
44,496,microsoft windows vista business 32-bit for system builders,microsoft,179.99,0,13
86,1643,microsoft windows vista business 32-bit oem,,149.99,1,13
18,1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,0,14
98,1496,office mac student/teach 04,,146.02,1,14
103,2850,microsoft office 2004 for students and teachers ( mac ),,134.99,1,14
93,469,ae mappoint 2006 cd,microsoft corp,49.95,0,15
100,2480,microsoft b21-00806 ae mappoint 2006 cd,,50.39,1,15
58,423,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,0,16
102,2364,microsoft 059-03871 molpc word sa,,111.78,1,16
50,951,microspot macdraft professional ( mac ),microspot ltd.,349.99,0,17
106,891,microspot macdraft professional edition,,249.99,1,17
65,519,microsoft student with encarta premium 2008 dvd,microsoft,49.95,0,18
117,2423,microsoft student with encarta premium 2008 complete package,,43.6,1,18
76,382,adobe production studio premium,adobe,1699.0,0,19
