index,id,Beer_Name,Brew_Factory_Name,Style,ABV,source,entity_id
19,982,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,0,1
15,2999,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,1,1
24,1931,Poor Richard 's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,6.50 %,0,2
21,810,21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7 %,1,2
35,190,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %,0,3
32,805,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %,1,3
38,1850,Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,4.50 %,0,4
34,742,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,-,1,4
39,2909,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 %,0,5
35,1529,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 %,1,5
44,2175,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,-,0,6
45,996,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %,1,6
61,4101,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.00 %,0,7
56,2360,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,17.50 %,1,7
66,890,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 %,0,8
60,2580,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50 %,1,8
67,2689,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00 %,0,9
62,1373,Hearthstone Red Rye Ale,Hearthstone Brewery,Specialty Grain,5 %,1,9
68,1672,River Otter Ale,Union Station Brewery,American Amber / Red Ale,5.10 %,0,10
63,590,Sacramento River Otter Ale,Sacramento Brewing Company,English Pale Ale,5.50 %,1,10
71,3210,Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 %,0,11
68,1737,Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70 %,1,11
72,4286,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12.00 %,0,12
69,2362,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,Barley Wine,12 %,1,12
73,3758,Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,-,0,13
70,2120,Bendorf Neudorf Red Ale,Bendorf,Irish Ale,6 %,1,13
83,4003,Red 's On Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 %,0,14
82,2284,Barley Johns Reds on Vacation,Barley Johns Brew Pub,Amber Ale,5.44 %,1,14
84,4088,Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 %,0,15
83,2351,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,14 %,1,15
85,2606,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 %,0,16
84,1320,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 %,1,16
86,1460,Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 %,0,17
85,412,Haines Eldred Rock Amber,Haines Brewing Co. .,Amber Ale,5 %,1,17
88,2362,My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 %,0,18
87,1136,Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 %,1,18
93,386,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 %,0,19
92,2204,Belle Gueule Rousse,Brasseurs RJ,Amber Lager/Vienna,5.20 %,1,19
94,2992,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,American Amber / Red Ale,4.50 %,0,20
93,1590,Ise Kadoya Amarillo Amber Ale,Ise Kadoya,Amber Ale,-,1,20
96,1456,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 %,0,21
95,409,Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 %,1,21
101,3802,Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,5.70 %,0,22
100,2149,John Harvards Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,Amber Ale,6.50 %,1,22
102,1648,Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 %,0,23
101,571,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,1,23
108,3035,Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 %,0,24
107,1620,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,1,24
109,1914,Dream Of The 90 's,Prohibition Pig,American Amber / Red Ale,6.10 %,0,25
108,793,Prohibition Pig Dream of the 90s,Prohibition Pig,Amber Ale,-,1,25
110,2463,Fullers Traitors ' Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 %,0,26
109,1206,Fuller_s Traitor_s Gate,Fuller_s,Bitter,4.50 %,1,26
111,2289,Blarney Rock Irish Ale,Rockyard Brewing,American Amber / Red Ale,6.00 %,0,27
110,1085,Rockyard Blarney Rock Irish Ale,Rockyard Brewing Company,Irish Ale,-,1,27
114,2506,Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,0,28
113,1242,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,1,28
