ltable_id,rtable_id,label,left_id,left_title,left_category,left_brand,left_modelno,left_price,right_id,right_title,right_category,right_brand,right_modelno,right_price,id
581,17384,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,17384,cinegray ezframe series fixed frame screen - 150 diagonal,projection screens,elite,,879.0,1
581,16963,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,16963,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,2
1136,16963,0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,16963,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,3
1502,3825,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,3825,georgia bulldogs iphone 4 case silicone cover,computers accessories,tribeca,,17.99,4
1502,7555,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,7555,penn state nittany lions iphone 4 case silicone cover,cases,tribeca,,17.99,5
337,20538,0,337,innovera d3010 black compatible high-yield toner print cartridge,stationery & office machinery,innovera,d3010,68.35,20538,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . .,inkjet printer ink,compatible,hp-q6511x,28.92,6
1861,20538,0,1861,innovera d2130b black compatible high-yield toner print cartridge,printers,innovera,d2130b,58.9,20538,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . .,inkjet printer ink,compatible,hp-q6511x,28.92,7
337,19585,0,337,innovera d3010 black compatible high-yield toner print cartridge,stationery & office machinery,innovera,d3010,68.35,19585,innovera pc201 compatible thermal print cartridge ribbon black,printer ink toner,innovera,,13.13,8
337,4883,0,337,innovera d3010 black compatible high-yield toner print cartridge,stationery & office machinery,innovera,d3010,68.35,4883,innovera 104 - 104 compatible toner 2000 page-yield black,computer accessories,innovera,,,9
1861,4883,0,1861,innovera d2130b black compatible high-yield toner print cartridge,printers,innovera,d2130b,58.9,4883,innovera 104 - 104 compatible toner 2000 page-yield black,computer accessories,innovera,,,10
1850,4883,0,1850,innovera 7653 compatible ink 8000 page-yield red,printers,innovera,7653,54.1,4883,innovera 104 - 104 compatible toner 2000 page-yield black,computer accessories,innovera,,,11
1528,4883,0,1528,innovera m4640 compatible remanufactured high-yield ink 484 page-yield black,printers,innovera,m4640,24.99,4883,innovera 104 - 104 compatible toner 2000 page-yield black,computer accessories,innovera,,,12
