#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.Id
#foreign_key_rtable=rtable.Id
#ltable=POINTER
_id,ltable.Id,rtable.Id,ltable.Director,ltable.Name,ltable.Year,rtable.Director,rtable.Name,rtable.YearRange,gold
5,tt0014341,the_last_man_on_earth_1924,"John G. Blystone,Buster Keaton",Our Hospitality,1923,John G. Blystone,The Last Man on Earth,1923 1924 1925,0
38,tt0021749,our-daily-bread-city-girl,Charles Chaplin,City Lights,1931,"F.W. Murnau,Friedrich Wilhelm Murnau",City Girl,1929 1930 1931,0
54,tt0022208,the-conquerors1932,William A. Wellman,Night Nurse,1931,William Wellman,The Conquerors,1931 1932 1933,0
68,tt0022550,1061171-old_dark_house,James Whale,Waterloo Bridge,1931,James Whale,The Old Dark House,1931 1932 1933,0
129,tt0024115,the-conquerors1932,William A. Wellman,Heroes for Sale,1933,William Wellman,The Conquerors,1931 1932 1933,0
132,tt0024184,1061171-old_dark_house,James Whale,The Invisible Man,1933,James Whale,The Old Dark House,1931 1932 1933,0
205,tt0026835,1016522-poor_little_rich_girl,John S. Robertson,Our Little Girl,1935,Irving Cummings,Poor Little Rich Girl,1935 1936 1937,0
225,tt0027800,1038518-raven,Lambert Hillyer,The Invisible Ray,1936,"Lew Landers,Louis Friedlander",The Raven,1934 1935 1936,0
229,tt0027977,1020729-swing_time,Charles Chaplin,Modern Times,1936,"George Stevens,George Stevens Jr.",Swing Time,1935 1936 1937,0
235,tt0028092,pennies_from_heaven_1936,Norman Z. McLeod,Pennies from Heaven,1936,"Norman McLeod,Norman Z. McLeod",Pennies From Heaven,1935 1936 1937,1
246,tt0028333,modern_times,George Stevens,Swing Time,1936,"Charlie Chaplin,Charles Chaplin",Modern Times,1935 1936 1937,0
277,tt0029442,banjo-on-my-knee,"John Cromwell,W.S. Van Dyke",The Prisoner of Zenda,1937,John Cromwell,Banjo on My Knee,1935 1936 1937,0
299,tt0030657,1009437-heidi,Allan Dwan,Rebecca of Sunnybrook Farm,1938,Allan Dwan,Heidi,1936 1937 1938,0
325,tt0031381,holiday,"Victor Fleming,George Cukor",Gone with the Wind,1939,George Cukor,Holiday,1937 1938 1939,0
335,tt0031750,old_maid,Edmund Goulding,The Old Maid,1939,Edmund Goulding,The Old Maid,1938 1939 1940,1
358,tt0032376,topper_returns,"Dorothy Arzner,Roy Del Ruth","Dance, Girl, Dance",1940,Roy Del Ruth,Topper Returns,1940 1941 1942,0
362,tt0032455,fantasia,"Norman Ferguson,James Algar",Fantasia,1940,"Deems Taylor,Hugh Douglas,Julietta Novis,Leopold Stokowski,James Algar,Mickey Mouse,Samuel Armstrong,Ford Beebe,Walt Disney,Norman Ferguson,Jim Handley,Wilfred Jackson,Hamilton Luske,Bill Roberts,Paul Satterfield,T. Hee,Bianca Majolie,Ben Sharpsteen,Norman Wright,Albert Heath,Ford I. Beebe,Sylvia Moberly-Holland,Graham Heid",Fantasia,1939 1940 1941,1
