example,scenario,mode,ngram,embed_manager,IM,IC,IP,dist(IM),dist(IC),dist(IP),avg(IM),avg(IC),avg(IP)
"U1 (|D1|=600, |D2|=300, |D3|=300, |D4|=600, |V1|=2691, |V2|=866, |V3|=1364, |V4|=1763)",1,jaccard_difference,1,None,"(0.633, 0.734)","(1.0, 0.656)","(0.0, 0.0)",0.453,0.344,1.414,0.683,0.828,0.000
"U1 (|D1|=600, |D2|=300, |D3|=300, |D4|=600, |V1|=2691, |V2|=866, |V3|=1364, |V4|=1763)",2,jaccard_difference,1,None,"(0.74, 0.861)","(1.0, 0.684)","(0.0, 0.0)",0.295,0.316,1.414,0.800,0.842,0.000
"U1 (|D1|=600, |D2|=300, |D3|=300, |D4|=600, |V1|=2691, |V2|=866, |V3|=1364, |V4|=1763)",3,jaccard_difference,1,None,"(0.687, 0.874)","(1.0, 0.675)","(0.83, 0.72)",0.337,0.325,0.328,0.780,0.838,0.775
"U2 (|D1|=700, |D2|=350, |D3|=350, |D4|=700, |V1|=1239, |V2|=795, |V3|=713, |V4|=1168)",1,jaccard_difference,1,None,"(0.782, 0.884)","(1.0, 0.623)","(0.0, 0.0)",0.247,0.377,1.414,0.833,0.811,0.000
"U2 (|D1|=700, |D2|=350, |D3|=350, |D4|=700, |V1|=1239, |V2|=795, |V3|=713, |V4|=1168)",2,jaccard_difference,1,None,"(0.698, 0.905)","(1.0, 0.748)","(0.0, 0.0)",0.317,0.252,1.414,0.801,0.874,0.000
"U2 (|D1|=700, |D2|=350, |D3|=350, |D4|=700, |V1|=1239, |V2|=795, |V3|=713, |V4|=1168)",3,jaccard_difference,1,None,"(0.74, 0.952)","(1.0, 0.661)","(0.893, 0.84)",0.264,0.339,0.192,0.846,0.831,0.867
"U3 (|D1|=50, |D2|=25, |D3|=25, |D4|=50, |V1|=184, |V2|=102, |V3|=88, |V4|=175)",1,jaccard_difference,1,None,"(0.8, 0.96)","(1.0, 0.683)","(0.0, 0.0)",0.204,0.317,1.414,0.880,0.842,0.000
"U3 (|D1|=50, |D2|=25, |D3|=25, |D4|=50, |V1|=184, |V2|=102, |V3|=88, |V4|=175)",2,jaccard_difference,1,None,"(0.738, 0.978)","(1.0, 0.913)","(0.0, 0.0)",0.263,0.087,1.414,0.858,0.957,0.000
"U3 (|D1|=50, |D2|=25, |D3|=25, |D4|=50, |V1|=184, |V2|=102, |V3|=88, |V4|=175)",3,jaccard_difference,1,None,"(0.769, 0.986)","(1.0, 0.746)","(0.9, 0.942)",0.231,0.254,0.116,0.877,0.873,0.921
"U4 (|D1|=100, |D2|=50, |D3|=50, |D4|=100, |V1|=225, |V2|=109, |V3|=111, |V4|=205)",1,jaccard_difference,1,None,"(0.92, 0.964)","(1.0, 0.657)","(0.0, 0.0)",0.088,0.343,1.414,0.942,0.829,0.000
"U4 (|D1|=100, |D2|=50, |D3|=50, |D4|=100, |V1|=225, |V2|=109, |V3|=111, |V4|=205)",2,jaccard_difference,1,None,"(0.612, 0.986)","(1.0, 0.891)","(0.0, 0.0)",0.388,0.109,1.414,0.799,0.946,0.000
"U4 (|D1|=100, |D2|=50, |D3|=50, |D4|=100, |V1|=225, |V2|=109, |V3|=111, |V4|=205)",3,jaccard_difference,1,None,"(0.766, 0.984)","(1.0, 0.728)","(0.96, 0.927)",0.235,0.272,0.083,0.875,0.864,0.944
"U5 (|D1|=90, |D2|=45, |D3|=45, |D4|=90, |V1|=442, |V2|=264, |V3|=308, |V4|=480)",1,jaccard_difference,1,None,"(0.731, 0.873)","(1.0, 0.624)","(0.0, 0.0)",0.297,0.376,1.414,0.802,0.812,0.000
"U5 (|D1|=90, |D2|=45, |D3|=45, |D4|=90, |V1|=442, |V2|=264, |V3|=308, |V4|=480)",2,jaccard_difference,1,None,"(0.715, 0.931)","(1.0, 0.767)","(0.0, 0.0)",0.293,0.233,1.414,0.823,0.883,0.000
"U5 (|D1|=90, |D2|=45, |D3|=45, |D4|=90, |V1|=442, |V2|=264, |V3|=308, |V4|=480)",3,jaccard_difference,1,None,"(0.723, 0.948)","(1.0, 0.661)","(0.865, 0.82)",0.282,0.339,0.225,0.835,0.831,0.843
"U6 (|D1|=90, |D2|=45, |D3|=45, |D4|=90, |V1|=369, |V2|=205, |V3|=256, |V4|=401)",1,jaccard_difference,1,None,"(0.769, 0.894)","(1.0, 0.608)","(0.0, 0.0)",0.254,0.392,1.414,0.832,0.804,0.000
"U6 (|D1|=90, |D2|=45, |D3|=45, |D4|=90, |V1|=369, |V2|=205, |V3|=256, |V4|=401)",2,jaccard_difference,1,None,"(0.699, 0.941)","(1.0, 0.808)","(0.0, 0.0)",0.307,0.192,1.414,0.820,0.904,0.000
"U6 (|D1|=90, |D2|=45, |D3|=45, |D4|=90, |V1|=369, |V2|=205, |V3|=256, |V4|=401)",3,jaccard_difference,1,None,"(0.734, 0.953)","(1.0, 0.673)","(0.885, 0.853)",0.270,0.327,0.187,0.843,0.837,0.869
"U7 (|D1|=2100, |D2|=1050, |D3|=365, |D4|=1415, |V1|=5995, |V2|=3981, |V3|=1536, |V4|=4478)",1,jaccard_difference,1,None,"(0.886, 0.864)","(1.0, 0.585)","(0.0, 0.0)",0.177,0.415,1.414,0.875,0.792,0.000
"U7 (|D1|=2100, |D2|=1050, |D3|=365, |D4|=1415, |V1|=5995, |V2|=3981, |V3|=1536, |V4|=4478)",2,jaccard_difference,1,None,"(0.682, 0.781)","(1.0, 0.687)","(0.0, 0.0)",0.386,0.313,1.414,0.732,0.844,0.000
"U7 (|D1|=2100, |D2|=1050, |D3|=365, |D4|=1415, |V1|=5995, |V2|=3981, |V3|=1536, |V4|=4478)",3,jaccard_difference,1,None,"(0.834, 0.899)","(1.0, 0.601)","(0.916, 0.848)",0.194,0.399,0.174,0.867,0.800,0.882
"U8 (|D1|=2100, |D2|=1050, |D3|=388, |D4|=1438, |V1|=6022, |V2|=3988, |V3|=1606, |V4|=4525)",1,jaccard_difference,1,None,"(0.966, 0.864)","(1.0, 0.585)","(0.0, 0.0)",0.140,0.415,1.414,0.915,0.792,0.000
"U8 (|D1|=2100, |D2|=1050, |D3|=388, |D4|=1438, |V1|=6022, |V2|=3988, |V3|=1606, |V4|=4525)",2,jaccard_difference,1,None,"(0.679, 0.787)","(1.0, 0.689)","(0.0, 0.0)",0.385,0.311,1.414,0.733,0.845,0.000
"U8 (|D1|=2100, |D2|=1050, |D3|=388, |D4|=1438, |V1|=6022, |V2|=3988, |V3|=1606, |V4|=4525)",3,jaccard_difference,1,None,"(0.889, 0.902)","(1.0, 0.601)","(0.975, 0.847)",0.148,0.399,0.155,0.895,0.800,0.911
"U9 (|D1|=2300, |D2|=1150, |D3|=1150, |D4|=2300, |V1|=4663, |V2|=3057, |V3|=3016, |V4|=4829)",1,jaccard_difference,1,None,"(0.835, 0.872)","(1.0, 0.646)","(0.0, 0.0)",0.209,0.354,1.414,0.853,0.823,0.000
"U9 (|D1|=2300, |D2|=1150, |D3|=1150, |D4|=2300, |V1|=4663, |V2|=3057, |V3|=3016, |V4|=4829)",2,jaccard_difference,1,None,"(0.656, 0.897)","(1.0, 0.779)","(0.0, 0.0)",0.359,0.221,1.414,0.776,0.889,0.000
"U9 (|D1|=2300, |D2|=1150, |D3|=1150, |D4|=2300, |V1|=4663, |V2|=3057, |V3|=3016, |V4|=4829)",3,jaccard_difference,1,None,"(0.745, 0.947)","(1.0, 0.699)","(0.918, 0.854)",0.260,0.301,0.167,0.846,0.849,0.886
"U10 (|D1|=2200, |D2|=1100, |D3|=1100, |D4|=2200, |V1|=4522, |V2|=2905, |V3|=2899, |V4|=4600)",1,jaccard_difference,1,None,"(0.903, 0.87)","(1.0, 0.64)","(0.0, 0.0)",0.162,0.360,1.414,0.887,0.820,0.000
"U10 (|D1|=2200, |D2|=1100, |D3|=1100, |D4|=2200, |V1|=4522, |V2|=2905, |V3|=2899, |V4|=4600)",2,jaccard_difference,1,None,"(0.654, 0.894)","(1.0, 0.777)","(0.0, 0.0)",0.362,0.223,1.414,0.774,0.889,0.000
"U10 (|D1|=2200, |D2|=1100, |D3|=1100, |D4|=2200, |V1|=4522, |V2|=2905, |V3|=2899, |V4|=4600)",3,jaccard_difference,1,None,"(0.778, 0.944)","(1.0, 0.697)","(0.952, 0.853)",0.229,0.303,0.155,0.861,0.849,0.902
"U11 (|D1|=700, |D2|=350, |D3|=350, |D4|=700, |V1|=1704, |V2|=1222, |V3|=1067, |V4|=1793)",1,jaccard_difference,1,None,"(0.766, 0.909)","(1.0, 0.645)","(0.0, 0.0)",0.251,0.355,1.414,0.838,0.823,0.000
"U11 (|D1|=700, |D2|=350, |D3|=350, |D4|=700, |V1|=1704, |V2|=1222, |V3|=1067, |V4|=1793)",2,jaccard_difference,1,None,"(0.716, 0.911)","(1.0, 0.749)","(0.0, 0.0)",0.298,0.251,1.414,0.814,0.875,0.000
"U11 (|D1|=700, |D2|=350, |D3|=350, |D4|=700, |V1|=1704, |V2|=1222, |V3|=1067, |V4|=1793)",3,jaccard_difference,1,None,"(0.741, 0.963)","(1.0, 0.672)","(0.883, 0.851)",0.262,0.328,0.189,0.852,0.836,0.867
"U12 (|D1|=600, |D2|=300, |D3|=300, |D4|=600, |V1|=1472, |V2|=1103, |V3|=898, |V4|=1575)",1,jaccard_difference,1,None,"(0.759, 0.918)","(1.0, 0.644)","(0.0, 0.0)",0.255,0.356,1.414,0.839,0.822,0.000
