index,ID,NAME,RATING,PHONENUMBER,NO_OF_REVIEWS,ADDRESS,source,entity_id
4,1450000000004,15 Romolo ,3.7,(415) 398-1359,39,"15 Romolo Place, San Francisco, CA",0,1
12,1445980000013,15 Romolo ,4.0,(415) 398-1359,894,"15 Romolo Pl, San Francisco, CA 94133",1,1
41,1450000000041,Acquerello ,3.5,(415) 567-5432,93,"1722 Sacramento Street, San Francisco, CA",0,2
94,1445980000095,Acquerello ,4.5,(415) 567-5432,797,"1722 Sacramento St, San Francisco, CA 94109",1,2
48,1450000000048,AJ Bombers ,3.5,(608) 305-4474,160,"201 W Gorham St, Madison, WI",0,3
119,1445980000120,AJ Bombers ,3.5,(608) 305-4474,79,"201 W Gorham St, Madison, WI 53703",1,3
64,1450000000064,Alcove Cafe & Bakery ,4.1,(323) 644-0100,729,"1929 Hillhurst Ave, Los Angeles, CA",0,4
137,1445980000138,Alcove Caf̩ & Bakery ,4.0,(323) 644-0100,3111,"1929 Hillhurst Ave, Los Angeles, CA 90027",1,4
99,1450000000099,Anella ,3.8,(718) 389-8100,82,"222 Franklin Street, Brooklyn, NY",0,5
219,1445980000220,Anella ,4.0,(718) 389-8100,267,"222 Franklin St, Brooklyn, NY 11222",1,5
151,1450000000151,Asiento ,3.1,(415) 829-3375,11,"2730 21st Street, San Francisco, CA",0,6
319,1445980000320,Asiento ,4.0,(415) 829-3375,258,"2730 21st St, San Francisco, CA 94110",1,6
171,1450000000171,Avec ,3.9,(312) 377-2002,837,"615 W. Randolph Street, Chicago, IL",0,7
354,1445980000355,Avec ,4.5,(312) 377-2002,1485,"615 W Randolph St, Chicago, IL 60661",1,7
185,1450000000185,Babes Madison ,3.4,(608) 274-7300,76,"5614 Schroeder Rd, Madison, WI",0,8
380,1445980000381,Babes Grill & Bar ,3.5,(608) 274-7300,54,"5614 Schroeder Rd, Madison, WI 53711",1,8
225,1450000000225,Bari ,3.9,(312) 666-0730,150,"1120 W. Grand Avenue, Chicago, IL",0,9
443,1445980000444,Bari ,4.5,(312) 666-0730,591,"1120 W Grand Ave, Chicago, IL 60642",1,9
334,1450000000334,Blowin' Smoke Barbeque ,3.1,(608) 215-0069,15,"1336 Montondon Avenue, Waunakee, WI",0,10
642,1445980000643,Blowin�۪ Smoke BBQ ,3.5,(608) 215-0069,30,"1336 Montondon Ave, Waunakee, WI 53597",1,10
641,1445980000642,Blowin�۪ Smoke BBQ ,4.0,(608) 215-0069,31,"1336 Montondon Ave, Waunakee, WI 53597",1,10
356,1450000000356,Bocadillos ,3.8,(415) 982-2622,99,"710 Montgomery Street, San Francisco, CA",0,11
673,1445980000674,Bocadillos ,4.0,(415) 982-2622,956,"710 Montgomery St, San Francisco, CA 94111",1,11
364,1450000000364,Bonfyre American Grille ,3.9,(608) 273-3973,573,"2601 West Beltline Highway, Madison, WI",0,12
688,1445980000689,Bonfyre American Grille ,3.5,(608) 273-3973,146,"2601 W Beltline Hwy, Madison, WI 53713",1,12
404,1450000000404,Buck & Honey's ,3.5,(608) 837-3131,172,"804 Liberty Boulevard, Sun Prairie, WI",0,13
788,1445980000789,Buck & Honey�۪s ,4.0,(608) 837-3131,83,"804 Liberty Blvd, Sun Prairie, WI 53590",1,13
426,1450000000426,Burma Love ,2.8,(415) 861-2100,4,"211 Valencia Street, San Francisco, CA",0,14
819,1445980000820,Burma Love ,4.0,(415) 861-2100,254,"211 Valencia St, San Francisco, CA 94103",1,14
454,1450000000454,Cafe Tallulah ,3.1,(212) 209-1055,14,"240 Columbus Avenue, New York, NY",0,15
905,1445980000906,Cafe Tallulah ,3.5,(212) 209-1055,176,"240 Columbus Ave, New York, NY 10023",1,15
