ID,NAME,RATING,PHONENUMBER,NO_OF_REVIEWS,ADDRESS
1450000000004,15 Romolo ,3.7,(415) 398-1359,39,"15 Romolo Place, San Francisco, CA"
1450000000018,456 Shanghai Cuisine ,3.9,1261,83,"69 Mott Street, New York, NY"
1450000000021,5A5 Steak Lounge ,3.7,(415) 989-2539,95,"244 Jackson Street, San Francisco, CA"
1450000000029,9th Street Pizza ,,(213) 627-7798,0,"231 E 9th St, Los Angeles, CA"
1450000000039,ABC Seafood ,3.5,(213) 680-2887,91,"205 Ord St, Los Angeles, CA"
1450000000041,Acquerello ,3.5,(415) 567-5432,93,"1722 Sacramento Street, San Francisco, CA"
1450000000048,AJ Bombers ,3.5,(608) 305-4474,160,"201 W Gorham St, Madison, WI"
1450000000057,Al's Place ,2.8,(415) 416-6136,6,"1499 Valencia Street, San Francisco, CA"
1450000000064,Alcove Cafe & Bakery ,4.1,(323) 644-0100,729,"1929 Hillhurst Ave, Los Angeles, CA"
1450000000071,Allende Restaurant ,3.6,(773) 477-7114,90,"2408 N. Lincoln Avenue, Chicago, IL"
1450000000073,Alta CA ,2.9,(415) 590-2585,13,"1420 Market Street, San Francisco, CA"
1450000000099,Anella ,3.8,(718) 389-8100,82,"222 Franklin Street, Brooklyn, NY"
1450000000100,Angel Cafe & Deli ,3.1,(415) 931-3467,12,"700 Geary Street, San Francisco, CA"
1450000000105,Anima Pizza & Pasta ,3.1,(213) 738-0799,7,"698 S Vermont Ave, Los Angeles, CA"
1450000000107,Ann Sather ,3.8,(773) 348-2378,385,"909 W. Belmont Avenue, Chicago, IL"
1450000000123,Arby's ,2.8,(608) 274-6205,13,"601 S Gammon Rd, Madison, WI"
1450000000137,Aroma Bar and Grill ,3.1,(323) 850-8120,7,"7373 W Sunset Blvd, Los Angeles, CA"
1450000000151,Asiento ,3.1,(415) 829-3375,11,"2730 21st Street, San Francisco, CA"
1450000000153,Athens Gyros ,,(608) 246-7733,0,"1860 E Washington Ave, Madison, WI"
1450000000161,Atomic Wings ,3.6,(212) 760-9090,53,"528 9th Avenue, New York, NY, NY"
1450000000171,Avec ,3.9,(312) 377-2002,837,"615 W. Randolph Street, Chicago, IL"
1450000000185,Babes Madison ,3.4,(608) 274-7300,76,"5614 Schroeder Rd, Madison, WI"
1450000000187,Baby Blues BBQ ,3.5,(415) 896-4250,80,"3149 Mission Street, San Francisco, CA"
1450000000200,Bahn Thai Restaurant ,3.8,(608) 256-0202,90,"944 Williamson St, Madison, WI"
